Taxon	Birdtree_tiplabel	TaxCategory	DryDiagonal	Caatinga	Cerrado	Chaco	Endemic	IUCN	Comments
Coccycua cinerea	Coccycua_cinerea	SPECIES	x	x	x	x			
Piaya cayana	Piaya_cayana	SPECIES	x	x	x	x			
Piaya cayana pallescens		SUBSPECIES	x	x	x				
Piaya cayana pallescens		SUBSPECIES	x		x				
Piaya cayana macroura		SUBSPECIES	x			x			
Coccyzus melacoryphus	Coccyzus_melacoryphus	SPECIES	x	x	x	x			
Coccyzus americanus	Coccyzus_americanus	SPECIES	x	x	x	x			
Coccyzus euleri	Coccyzus_euleri	SPECIES	x	x	x				
Coccyzus minor	Coccyzus_minor	SPECIES	x	x	x				Coastal 
Crotophaga major	Crotophaga_major	SPECIES	x	x	x	x			
Crotophaga ani	Crotophaga_ani	SPECIES	x	x	x	x			
Guira guira	Guira_guira	SPECIES	x	x	x	x			
Tapera naevia	Tapera_naevia	SPECIES	x	x	x	x			
Tapera naevia naevia		SUBSPECIES	x	x	x	x			
Dromococcyx phasianellus	Dromococcyx_phasianellus	SPECIES	x	x	x				
Dromococcyx pavoninus	Dromococcyx_pavoninus	SPECIES	x	x	x				
